24,B12,FALSE,143,A,UNKNOWN,SYBR,None,22.767,22.905,0.195,,,,,,,,TRUE,0.418,TRUE,3,16,Amp,,0.953,N,N,N,87.833,,,
25,C1,FALSE,144,Acerv,UNKNOWN,SYBR,None,29.184,29.085,0.140,,,,,,,,TRUE,0.183,TRUE,3,25,Amp,,0.969,N,N,N,75.021,,,
26,C2,FALSE,144,A,UNKNOWN,SYBR,None,22.880,22.877,0.004,,,,,,,,TRUE,0.418,TRUE,3,17,Amp,,0.973,N,N,N,87.685,,,
27,C3,FALSE,144,Acerv,UNKNOWN,SYBR,None,28.986,29.085,0.140,,,,,,,,TRUE,0.183,TRUE,3,24,Amp,,0.969,N,N,N,75.293,,,
28,C4,FALSE,144,A,UNKNOWN,SYBR,None,22.875,22.877,0.004,,,,,,,,TRUE,0.418,TRUE,3,16,Amp,,0.982,N,N,N,87.790,,,
29,C5,FALSE,146,Acerv,UNKNOWN,SYBR,None,26.241,26.216,0.035,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.963,N,N,N,75.142,,,
30,C6,FALSE,146,A,UNKNOWN,SYBR,None,22.040,22.098,0.081,,,,,,,,TRUE,0.418,TRUE,3,15,Amp,,0.977,N,N,N,87.636,,,
31,C7,FALSE,146,Acerv,UNKNOWN,SYBR,None,26.192,26.216,0.035,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.985,N,N,N,75.153,,,
32,C8,FALSE,146,A,UNKNOWN,SYBR,None,22.155,22.098,0.081,,,,,,,,TRUE,0.418,TRUE,3,16,Amp,,0.988,N,N,N,87.656,,,
33,C9,FALSE,149,Acerv,UNKNOWN,SYBR,None,27.316,27.368,0.073,,,,,,,,TRUE,0.183,TRUE,3,22,Amp,,0.975,N,N,N,75.324,,,
34,C10,FALSE,149,A,UNKNOWN,SYBR,None,23.562,23.717,0.220,,,,,,,,TRUE,0.418,TRUE,3,18,Amp,,0.976,N,N,N,87.847,,,
35,C11,FALSE,149,Acerv,UNKNOWN,SYBR,None,27.420,27.368,0.073,,,,,,,,TRUE,0.183,TRUE,3,23,Amp,,0.962,N,N,N,75.170,,,
36,C12,FALSE,149,A,UNKNOWN,SYBR,None,23.873,23.717,0.220,,,,,,,,TRUE,0.418,TRUE,3,18,Amp,,0.949,N,N,N,87.833,,,
37,D1,FALSE,153,Acerv,UNKNOWN,SYBR,None,25.194,25.018,0.250,,,,,,,,TRUE,0.183,TRUE,3,19,Amp,,0.967,N,N,N,75.169,,,
38,D2,FALSE,153,A,UNKNOWN,SYBR,None,22.988,23.009,0.030,,,,,,,,TRUE,0.418,TRUE,3,17,Amp,,0.975,N,N,N,87.685,,,
39,D3,FALSE,153,Acerv,UNKNOWN,SYBR,None,24.841,25.018,0.250,,,,,,,,TRUE,0.183,TRUE,3,19,Amp,,0.970,N,N,N,75.293,,,
40,D4,FALSE,153,A,UNKNOWN,SYBR,None,23.030,23.009,0.030,,,,,,,,TRUE,0.418,TRUE,3,17,Amp,,0.975,N,N,N,87.790,,,
41,D5,FALSE,154,Acerv,UNKNOWN,SYBR,None,26.647,26.572,0.107,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.972,N,N,N,75.142,,,
42,D6,FALSE,154,A,UNKNOWN,SYBR,None,22.742,22.869,0.179,,,,,,,,TRUE,0.418,TRUE,3,16,Amp,,0.978,N,N,N,87.636,,,
43,D7,FALSE,154,Acerv,UNKNOWN,SYBR,None,26.496,26.572,0.107,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.987,N,N,N,75.153,,,
44,D8,FALSE,154,A,UNKNOWN,SYBR,None,22.995,22.869,0.179,,,,,,,,TRUE,0.418,TRUE,3,17,Amp,,0.980,N,N,N,87.656,,,
45,D9,FALSE,157,Acerv,UNKNOWN,SYBR,None,24.418,24.522,0.146,,,,,,,,TRUE,0.183,TRUE,3,19,Amp,,0.977,N,N,N,75.324,,,
46,D10,FALSE,157,A,UNKNOWN,SYBR,None,22.159,22.188,0.042,,,,,,,,TRUE,0.418,TRUE,3,15,Amp,,0.979,N,N,N,87.847,,,
47,D11,FALSE,157,Acerv,UNKNOWN,SYBR,None,24.625,24.522,0.146,,,,,,,,TRUE,0.183,TRUE,3,18,Amp,,0.965,N,N,N,75.317,,,
48,D12,FALSE,157,A,UNKNOWN,SYBR,None,22.218,22.188,0.042,,,,,,,,TRUE,0.418,TRUE,3,16,Amp,,0.948,N,N,N,87.686,,,
49,E1,FALSE,158,Acerv,UNKNOWN,SYBR,None,24.453,24.367,0.122,,,,,,,,TRUE,0.183,TRUE,3,19,Amp,,0.968,N,N,N,75.169,,,
50,E2,FALSE,158,A,UNKNOWN,SYBR,None,21.990,22.337,0.491,,,,,,,,TRUE,0.418,TRUE,3,15,Amp,,0.977,N,N,N,87.537,,,
51,E3,FALSE,158,Acerv,UNKNOWN,SYBR,None,24.281,24.367,0.122,,,,,,,,TRUE,0.183,TRUE,3,19,Amp,,0.975,N,N,N,75.293,,,
52,E4,FALSE,158,A,UNKNOWN,SYBR,None,22.684,22.337,0.491,,,,,,,,TRUE,0.418,TRUE,3,16,Amp,,0.959,N,N,N,87.643,,,
53,E5,FALSE,159,Acerv,UNKNOWN,SYBR,None,25.067,25.035,0.045,,,,,,,,TRUE,0.183,TRUE,3,20,Amp,,0.974,N,N,N,75.142,,,
54,E6,FALSE,159,A,UNKNOWN,SYBR,None,22.730,22.738,0.010,,,,,,,,TRUE,0.418,TRUE,3,17,Amp,,0.981,N,N,N,87.636,,,
55,E7,FALSE,159,Acerv,UNKNOWN,SYBR,None,25.003,25.035,0.045,,,,,,,,TRUE,0.183,TRUE,3,20,Amp,,0.969,N,N,N,75.153,,,
56,E8,FALSE,159,A,UNKNOWN,SYBR,None,22.745,22.738,0.010,,,,,,,,TRUE,0.418,TRUE,3,16,Amp,,0.967,N,N,N,87.656,,,
57,E9,FALSE,199,Acerv,UNKNOWN,SYBR,None,25.722,25.678,0.063,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.989,N,N,N,75.324,,,
58,E10,FALSE,199,A,UNKNOWN,SYBR,None,23.391,23.302,0.126,,,,,,,,TRUE,0.418,TRUE,3,17,Amp,,0.970,N,N,N,87.699,,,
59,E11,FALSE,199,Acerv,UNKNOWN,SYBR,None,25.634,25.678,0.063,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.967,N,N,N,75.170,,,
60,E12,FALSE,199,A,UNKNOWN,SYBR,None,23.213,23.302,0.126,,,,,,,,TRUE,0.418,TRUE,3,16,Amp,,0.975,N,N,N,87.686,,,
61,F1,FALSE,201,Acerv,UNKNOWN,SYBR,None,27.485,27.362,0.173,,,,,,,,TRUE,0.183,TRUE,3,23,Amp,,0.975,N,N,N,75.021,,,
62,F2,FALSE,201,A,UNKNOWN,SYBR,None,22.310,22.529,0.310,,,,,,,,TRUE,0.418,TRUE,3,14,Amp,,0.980,N,N,N,87.537,,,
63,F3,FALSE,201,Acerv,UNKNOWN,SYBR,None,27.239,27.362,0.173,,,,,,,,TRUE,0.183,TRUE,3,22,Amp,,0.970,N,N,N,75.146,,,
64,F4,FALSE,201,A,UNKNOWN,SYBR,None,22.748,22.529,0.310,,,,,,,,TRUE,0.418,TRUE,3,16,Amp,,0.975,N,N,N,87.643,,,
65,F5,FALSE,202,Acerv,UNKNOWN,SYBR,None,27.500,27.916,0.588,,,,,,,,TRUE,0.183,TRUE,3,22,Amp,,0.979,N,N,Y,74.995,,,
66,F6,FALSE,202,A,UNKNOWN,SYBR,None,23.042,22.945,0.137,,,,,,,,TRUE,0.418,TRUE,3,16,Amp,,0.973,N,N,N,87.489,,,
67,F7,FALSE,202,Acerv,UNKNOWN,SYBR,None,28.332,27.916,0.588,,,,,,,,TRUE,0.183,TRUE,3,23,Amp,,0.959,N,N,Y,75.153,,,
68,F8,FALSE,202,A,UNKNOWN,SYBR,None,22.848,22.945,0.137,,,,,,,,TRUE,0.418,TRUE,3,16,Amp,,0.975,N,N,N,87.656,,,
69,F9,FALSE,203,Acerv,UNKNOWN,SYBR,None,26.544,26.574,0.043,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.977,N,N,N,75.177,,,
70,F10,FALSE,203,A,UNKNOWN,SYBR,None,23.018,22.497,0.738,,,,,,,,TRUE,0.418,TRUE,3,17,Amp,,0.970,N,N,Y,87.699,,,
71,F11,FALSE,203,Acerv,UNKNOWN,SYBR,None,26.604,26.574,0.043,,,,,,,,TRUE,0.183,TRUE,3,22,Amp,,0.955,N,N,N,75.170,,,
72,F12,FALSE,203,A,UNKNOWN,SYBR,None,21.975,22.497,0.738,,,,,,,,TRUE,0.418,TRUE,3,15,Amp,,0.956,N,N,Y,87.686,,,
73,G1,FALSE,206,Acerv,UNKNOWN,SYBR,None,26.176,26.065,0.158,,,,,,,,TRUE,0.183,TRUE,3,22,Amp,,0.967,N,N,N,75.021,,,
74,G2,FALSE,206,A,UNKNOWN,SYBR,None,22.990,23.211,0.312,,,,,,,,TRUE,0.418,TRUE,3,16,Amp,,0.983,N,N,N,87.537,,,
75,G3,FALSE,206,Acerv,UNKNOWN,SYBR,None,25.953,26.065,0.158,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.968,N,N,N,75.146,,,
76,G4,FALSE,206,A,UNKNOWN,SYBR,None,23.431,23.211,0.312,,,,,,,,TRUE,0.418,TRUE,3,18,Amp,,0.964,N,N,N,87.643,,,
77,G5,FALSE,207,Acerv,UNKNOWN,SYBR,None,26.107,26.173,0.093,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.967,N,N,N,75.142,,,
78,G6,FALSE,207,A,UNKNOWN,SYBR,None,23.085,23.170,0.121,,,,,,,,TRUE,0.418,TRUE,3,17,Amp,,0.970,N,N,N,87.636,,,
79,G7,FALSE,207,Acerv,UNKNOWN,SYBR,None,26.238,26.173,0.093,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.963,N,N,N,75.153,,,
80,G8,FALSE,207,A,UNKNOWN,SYBR,None,23.255,23.170,0.121,,,,,,,,TRUE,0.418,TRUE,3,18,Amp,,0.964,N,N,N,87.656,,,
81,G9,FALSE,25,Acerv,UNKNOWN,SYBR,None,26.081,26.086,0.007,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.925,N,N,N,75.177,,,
82,G10,FALSE,25,A,UNKNOWN,SYBR,None,22.355,22.265,0.126,,,,,,,,TRUE,0.418,TRUE,3,17,Amp,,0.932,N,N,N,87.699,,,
83,G11,FALSE,25,Acerv,UNKNOWN,SYBR,None,26.091,26.086,0.007,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.980,N,N,N,75.170,,,
84,G12,FALSE,25,A,UNKNOWN,SYBR,None,22.176,22.265,0.126,,,,,,,,TRUE,0.418,TRUE,3,17,Amp,,0.951,N,N,N,87.686,,,
85,H1,FALSE,+,Acerv,UNKNOWN,SYBR,None,26.846,26.841,0.007,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.980,N,N,N,75.021,,,
86,H2,FALSE,+,A,UNKNOWN,SYBR,None,9.696,9.814,0.167,,,,,,,,TRUE,0.418,TRUE,3,5,Amp,,0.963,N,N,N,87.537,,,
87,H3,FALSE,120,Acerv,UNKNOWN,SYBR,None,25.617,25.213,0.572,,,,,,,,TRUE,0.183,TRUE,3,21,Amp,,0.981,N,N,Y,75.293,,,
88,H4,FALSE,120,A,UNKNOWN,SYBR,None,23.216,23.247,0.044,,,,,,,,TRUE,0.418,TRUE,3,17,Amp,,0.979,N,N,N,87.643,,,
89,H5,FALSE,120,Acerv,UNKNOWN,SYBR,None,24.809,25.213,0.572,,,,,,,,TRUE,0.183,TRUE,3,20,Amp,,0.972,N,N,Y,74.995,,,
90,H6,FALSE,120,A,UNKNOWN,SYBR,None,23.279,23.247,0.044,,,,,,,,TRUE,0.418,TRUE,3,17,Amp,,0.971,N,N,N,87.636,,,
91,H7,FALSE,215,Acerv,NTC,SYBR,None,24.165,,,,,,,,,,TRUE,0.183,TRUE,3,18,Amp,,0.972,N,Y,N,75.153,,,
92,H8,FALSE,215,A,NTC,SYBR,None,23.475,,,,,,,,,,TRUE,0.418,TRUE,3,18,Amp,,0.962,N,Y,N,87.656,,,
93,H9,FALSE,215,Acerv,NTC,SYBR,None,24.365,,,,,,,,,,TRUE,0.183,TRUE,3,20,Amp,,0.959,N,Y,N,75.177,,,
94,H10,FALSE,215,A,NTC,SYBR,None,23.367,,,,,,,,,,TRUE,0.418,TRUE,3,17,Amp,,0.959,N,Y,N,87.699,,,
95,H11,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.183,TRUE,3,26,No Amp,,0.000,N,N,N,60.003,,,
96,H12,FALSE,NTC,A,NTC,SYBR,None,36.972,,,,,,,,,,TRUE,0.418,TRUE,3,31,Amp,,0.845,Y,N,N,84.446,79.145,,
