21,B9,FALSE,152,Acerv,UNKNOWN,SYBR,None,25.731,25.982,0.356,,,,,,,,TRUE,0.353,TRUE,3,19,Amp,,0.982,N,N,N,N,N,N,74.147,,,
22,B10,FALSE,152,A,UNKNOWN,SYBR,None,21.915,22.217,0.427,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.984,N,N,N,N,N,N,85.642,,,
23,B11,FALSE,152,Acerv,UNKNOWN,SYBR,None,26.234,25.982,0.356,,,,,,,,TRUE,0.353,TRUE,3,21,Amp,,0.971,N,N,N,N,N,N,74.000,,,
24,B12,FALSE,152,A,UNKNOWN,SYBR,None,22.518,22.217,0.427,,,,,,,,TRUE,0.212,TRUE,3,18,Amp,,0.953,N,N,N,N,N,N,85.494,,,
25,C1,FALSE,155,Acerv,UNKNOWN,SYBR,None,24.142,24.104,0.053,,,,,,,,TRUE,0.353,TRUE,3,19,Amp,,0.975,N,N,N,N,N,N,73.852,,,
26,C2,FALSE,155,A,UNKNOWN,SYBR,None,22.223,22.354,0.185,,,,,,,,TRUE,0.212,TRUE,3,18,Amp,,0.940,N,N,N,N,N,N,85.494,,,
27,C3,FALSE,155,Acerv,UNKNOWN,SYBR,None,24.067,24.104,0.053,,,,,,,,TRUE,0.353,TRUE,3,18,Amp,,0.978,N,N,N,N,N,N,74.147,,,
28,C4,FALSE,155,A,UNKNOWN,SYBR,None,22.485,22.354,0.185,,,,,,,,TRUE,0.212,TRUE,3,16,Amp,,0.961,N,N,N,N,N,N,85.642,,,
29,C5,FALSE,160,Acerv,UNKNOWN,SYBR,None,27.860,27.851,0.012,,,,,,,,TRUE,0.353,TRUE,3,22,Amp,,0.982,N,N,N,N,N,N,74.147,,,
30,C6,FALSE,160,A,UNKNOWN,SYBR,None,22.865,22.808,0.081,,,,,,,,TRUE,0.212,TRUE,3,18,Amp,,0.955,N,N,N,N,N,N,85.642,,,
31,C7,FALSE,160,Acerv,UNKNOWN,SYBR,None,27.843,27.851,0.012,,,,,,,,TRUE,0.353,TRUE,3,22,Amp,,0.994,N,N,N,N,N,N,74.147,,,
32,C8,FALSE,160,A,UNKNOWN,SYBR,None,22.751,22.808,0.081,,,,,,,,TRUE,0.212,TRUE,3,18,Amp,,0.957,N,N,N,N,N,N,85.642,,,
33,C9,FALSE,161,Acerv,UNKNOWN,SYBR,None,23.885,23.902,0.023,,,,,,,,TRUE,0.353,TRUE,3,18,Amp,,0.977,N,N,N,N,N,N,74.147,,,
34,C10,FALSE,161,A,UNKNOWN,SYBR,None,24.228,24.231,0.004,,,,,,,,TRUE,0.212,TRUE,3,20,Amp,,0.969,N,N,N,N,N,N,85.642,,,
35,C11,FALSE,161,Acerv,UNKNOWN,SYBR,None,23.918,23.902,0.023,,,,,,,,TRUE,0.353,TRUE,3,19,Amp,,0.975,N,N,N,N,N,N,74.000,,,
36,C12,FALSE,161,A,UNKNOWN,SYBR,None,24.234,24.231,0.004,,,,,,,,TRUE,0.212,TRUE,3,19,Amp,,0.969,N,N,N,N,N,N,85.347,,,
37,D1,FALSE,162,Acerv,UNKNOWN,SYBR,None,24.344,24.389,0.063,,,,,,,,TRUE,0.353,TRUE,3,18,Amp,,0.981,N,N,N,N,N,N,74.000,,,
38,D2,FALSE,162,A,UNKNOWN,SYBR,None,21.935,21.942,0.010,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.904,N,N,N,N,N,N,85.494,,,
39,D3,FALSE,162,Acerv,UNKNOWN,SYBR,None,24.434,24.389,0.063,,,,,,,,TRUE,0.353,TRUE,3,18,Amp,,0.984,N,N,N,N,N,N,74.147,,,
40,D4,FALSE,162,A,UNKNOWN,SYBR,None,21.949,21.942,0.010,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.933,N,N,N,N,N,N,85.789,,,
41,D5,FALSE,164,Acerv,UNKNOWN,SYBR,None,25.884,25.868,0.024,,,,,,,,TRUE,0.353,TRUE,3,20,Amp,,0.989,N,N,N,N,N,N,74.000,,,
42,D6,FALSE,164,A,UNKNOWN,SYBR,None,22.724,22.504,0.311,,,,,,,,TRUE,0.212,TRUE,3,18,Amp,,0.908,N,N,N,N,N,N,85.347,,,
43,D7,FALSE,164,Acerv,UNKNOWN,SYBR,None,25.851,25.868,0.024,,,,,,,,TRUE,0.353,TRUE,3,19,Amp,,0.994,N,N,N,N,N,N,74.147,,,
44,D8,FALSE,164,A,UNKNOWN,SYBR,None,22.284,22.504,0.311,,,,,,,,TRUE,0.212,TRUE,3,16,Amp,,0.917,N,N,N,N,N,N,85.642,,,
45,D9,FALSE,167,Acerv,UNKNOWN,SYBR,None,25.032,25.174,0.201,,,,,,,,TRUE,0.353,TRUE,3,18,Amp,,0.991,N,N,N,N,N,N,74.147,,,
46,D10,FALSE,167,A,UNKNOWN,SYBR,None,23.185,22.992,0.273,,,,,,,,TRUE,0.212,TRUE,3,18,Amp,,0.976,N,N,N,N,N,N,85.347,,,
47,D11,FALSE,167,Acerv,UNKNOWN,SYBR,None,25.317,25.174,0.201,,,,,,,,TRUE,0.353,TRUE,3,19,Amp,,0.978,N,N,N,N,N,N,74.000,,,
48,D12,FALSE,167,A,UNKNOWN,SYBR,None,22.799,22.992,0.273,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.956,N,N,N,N,N,N,85.494,,,
49,E1,FALSE,176,Acerv,UNKNOWN,SYBR,None,24.592,24.753,0.227,,,,,,,,TRUE,0.353,TRUE,3,19,Amp,,0.983,N,N,N,N,N,N,74.000,,,
50,E2,FALSE,176,A,UNKNOWN,SYBR,None,22.418,22.320,0.138,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.917,N,N,N,N,N,N,85.347,,,
51,E3,FALSE,176,Acerv,UNKNOWN,SYBR,None,24.913,24.753,0.227,,,,,,,,TRUE,0.353,TRUE,3,19,Amp,,0.991,N,N,N,N,N,N,74.147,,,
52,E4,FALSE,176,A,UNKNOWN,SYBR,None,22.222,22.320,0.138,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.927,N,N,N,N,N,N,85.789,,,
53,E5,FALSE,179,Acerv,UNKNOWN,SYBR,None,25.070,25.003,0.095,,,,,,,,TRUE,0.353,TRUE,3,19,Amp,,0.982,N,N,N,N,N,N,74.147,,,
54,E6,FALSE,179,A,UNKNOWN,SYBR,None,22.436,22.211,0.318,,,,,,,,TRUE,0.212,TRUE,3,16,Amp,,0.912,N,N,N,N,N,N,85.494,,,
55,E7,FALSE,179,Acerv,UNKNOWN,SYBR,None,24.935,25.003,0.095,,,,,,,,TRUE,0.353,TRUE,3,17,Amp,,0.994,N,N,N,N,N,N,74.147,,,
56,E8,FALSE,179,A,UNKNOWN,SYBR,None,21.986,22.211,0.318,,,,,,,,TRUE,0.212,TRUE,3,16,Amp,,0.923,N,N,N,N,N,N,85.642,,,
57,E9,FALSE,182,Acerv,UNKNOWN,SYBR,None,23.137,23.371,0.331,,,,,,,,TRUE,0.353,TRUE,3,14,Amp,,0.981,N,N,N,N,N,N,74.147,,,
58,E10,FALSE,182,A,UNKNOWN,SYBR,None,22.689,23.034,0.488,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.929,N,N,N,N,N,N,85.642,,,
59,E11,FALSE,182,Acerv,UNKNOWN,SYBR,None,23.606,23.371,0.331,,,,,,,,TRUE,0.353,TRUE,3,18,Amp,,0.961,N,N,N,N,N,N,74.000,,,
60,E12,FALSE,182,A,UNKNOWN,SYBR,None,23.379,23.034,0.488,,,,,,,,TRUE,0.212,TRUE,3,19,Amp,,0.679,Y,Y,N,N,N,N,85.347,76.800,,
61,F1,FALSE,185,Acerv,UNKNOWN,SYBR,None,23.926,23.915,0.015,,,,,,,,TRUE,0.353,TRUE,3,18,Amp,,0.980,N,N,N,N,N,N,74.000,,,
62,F2,FALSE,185,A,UNKNOWN,SYBR,None,22.358,22.408,0.071,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.943,N,N,N,N,N,N,85.347,,,
63,F3,FALSE,185,Acerv,UNKNOWN,SYBR,None,23.904,23.915,0.015,,,,,,,,TRUE,0.353,TRUE,3,18,Amp,,0.990,N,N,N,N,N,N,74.147,,,
64,F4,FALSE,185,A,UNKNOWN,SYBR,None,22.459,22.408,0.071,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.935,N,N,N,N,N,N,85.494,,,
65,F5,FALSE,188,Acerv,UNKNOWN,SYBR,None,26.217,26.259,0.060,,,,,,,,TRUE,0.353,TRUE,3,20,Amp,,0.970,N,N,N,N,N,N,74.147,,,
66,F6,FALSE,188,A,UNKNOWN,SYBR,None,21.293,21.210,0.118,,,,,,,,TRUE,0.212,TRUE,3,16,Amp,,0.884,N,N,N,N,N,N,85.494,,,
67,F7,FALSE,188,Acerv,UNKNOWN,SYBR,None,26.302,26.259,0.060,,,,,,,,TRUE,0.353,TRUE,3,20,Amp,,0.984,N,N,N,N,N,N,74.000,,,
68,F8,FALSE,188,A,UNKNOWN,SYBR,None,21.126,21.210,0.118,,,,,,,,TRUE,0.212,TRUE,3,15,Amp,,0.896,N,N,N,N,N,N,85.642,,,
69,F9,FALSE,191,Acerv,UNKNOWN,SYBR,None,23.583,23.704,0.171,,,,,,,,TRUE,0.353,TRUE,3,17,Amp,,0.984,N,N,N,N,N,N,74.147,,,
70,F10,FALSE,191,A,UNKNOWN,SYBR,None,23.897,23.777,0.169,,,,,,,,TRUE,0.212,TRUE,3,18,Amp,,0.980,N,N,N,N,N,N,85.494,,,
71,F11,FALSE,191,Acerv,UNKNOWN,SYBR,None,23.825,23.704,0.171,,,,,,,,TRUE,0.353,TRUE,3,17,Amp,,0.979,N,N,N,N,N,N,74.000,,,
72,F12,FALSE,191,A,UNKNOWN,SYBR,None,23.658,23.777,0.169,,,,,,,,TRUE,0.212,TRUE,3,19,Amp,,0.968,N,N,N,N,N,N,85.494,,,
73,G1,FALSE,194,Acerv,UNKNOWN,SYBR,None,23.419,23.323,0.137,,,,,,,,TRUE,0.353,TRUE,3,16,Amp,,0.985,N,N,N,N,N,N,73.852,,,
74,G2,FALSE,194,A,UNKNOWN,SYBR,None,22.983,22.717,0.376,,,,,,,,TRUE,0.212,TRUE,3,19,Amp,,0.966,N,N,N,N,N,N,85.347,,,
75,G3,FALSE,194,Acerv,UNKNOWN,SYBR,None,23.226,23.323,0.137,,,,,,,,TRUE,0.353,TRUE,3,17,Amp,,0.984,N,N,N,N,N,N,74.147,,,
76,G4,FALSE,194,A,UNKNOWN,SYBR,None,22.451,22.717,0.376,,,,,,,,TRUE,0.212,TRUE,3,16,Amp,,0.937,N,N,N,N,N,N,85.642,,,
77,G5,FALSE,196,Acerv,UNKNOWN,SYBR,None,23.901,23.971,0.098,,,,,,,,TRUE,0.353,TRUE,3,19,Amp,,0.989,N,N,N,N,N,N,74.000,,,
78,G6,FALSE,196,A,UNKNOWN,SYBR,None,22.697,22.743,0.066,,,,,,,,TRUE,0.212,TRUE,3,16,Amp,,0.942,N,N,N,N,N,N,85.494,,,
79,G7,FALSE,196,Acerv,UNKNOWN,SYBR,None,24.040,23.971,0.098,,,,,,,,TRUE,0.353,TRUE,3,16,Amp,,0.988,N,N,N,N,N,N,74.000,,,
80,G8,FALSE,196,A,UNKNOWN,SYBR,None,22.790,22.743,0.066,,,,,,,,TRUE,0.212,TRUE,3,18,Amp,,0.959,N,N,N,N,N,N,85.642,,,
81,G9,FALSE,198,Acerv,UNKNOWN,SYBR,None,23.936,24.177,0.341,,,,,,,,TRUE,0.353,TRUE,3,18,Amp,,0.993,N,N,N,N,N,N,74.000,,,
82,G10,FALSE,198,A,UNKNOWN,SYBR,None,22.319,22.353,0.047,,,,,,,,TRUE,0.212,TRUE,3,15,Amp,,0.930,N,N,N,N,N,N,85.347,,,
83,G11,FALSE,198,Acerv,UNKNOWN,SYBR,None,24.418,24.177,0.341,,,,,,,,TRUE,0.353,TRUE,3,19,Amp,,0.985,N,N,N,N,N,N,74.000,,,
84,G12,FALSE,198,A,UNKNOWN,SYBR,None,22.386,22.353,0.047,,,,,,,,TRUE,0.212,TRUE,3,16,Amp,,0.970,N,N,N,N,N,N,85.642,,,
85,H1,FALSE,+,Acerv,UNKNOWN,SYBR,None,7.237,8.051,1.151,,,,,,,,TRUE,0.353,TRUE,3,4,Amp,,0.668,Y,N,N,Y,N,Y,73.852,,,
86,H2,FALSE,+,A,UNKNOWN,SYBR,None,9.216,8.861,0.502,,,,,,,,TRUE,0.212,TRUE,3,6,Amp,,0.632,Y,N,N,Y,N,N,85.052,,,
87,H3,FALSE,200,Acerv,UNKNOWN,SYBR,None,23.836,23.874,0.053,,,,,,,,TRUE,0.353,TRUE,3,17,Amp,,0.980,N,N,N,N,N,N,74.147,,,
88,H4,FALSE,200,A,UNKNOWN,SYBR,None,21.491,21.853,0.511,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.885,N,N,N,Y,N,N,85.789,,,
89,H5,FALSE,200,Acerv,UNKNOWN,SYBR,None,23.912,23.874,0.053,,,,,,,,TRUE,0.353,TRUE,3,18,Amp,,0.984,N,N,N,N,N,N,74.000,,,
90,H6,FALSE,200,A,UNKNOWN,SYBR,None,22.214,21.853,0.511,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.927,N,N,N,Y,N,N,85.494,,,
91,H7,FALSE,204,Acerv,UNKNOWN,SYBR,None,25.849,26.100,0.356,,,,,,,,TRUE,0.353,TRUE,3,20,Amp,,0.985,N,N,N,N,N,N,74.147,,,
92,H8,FALSE,204,A,UNKNOWN,SYBR,None,22.318,22.058,0.368,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.950,N,N,N,N,N,N,85.494,,,
93,H9,FALSE,204,Acerv,UNKNOWN,SYBR,None,26.352,26.100,0.356,,,,,,,,TRUE,0.353,TRUE,3,20,Amp,,0.992,N,N,N,N,N,N,74.000,,,
94,H10,FALSE,204,A,UNKNOWN,SYBR,None,21.798,22.058,0.368,,,,,,,,TRUE,0.212,TRUE,3,17,Amp,,0.902,N,N,N,N,N,N,85.642,,,
95,H11,FALSE,NTC,Acerv,UNKNOWN,SYBR,None,35.161,,,,,,,,,,TRUE,0.353,TRUE,3,29,Amp,,0.976,N,N,N,N,N,N,74.000,,,
96,H12,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.212,TRUE,3,29,No Amp,,0.000,Y,N,N,N,N,N,77.389,,,
