25,C1,FALSE,A187,Acerv,UNKNOWN,SYBR,None,24.892,24.637,0.361,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.882,N,N,75.175,,,
26,C2,FALSE,A187,A,UNKNOWN,SYBR,None,25.534,25.411,0.173,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.976,N,N,87.697,,,
27,C3,FALSE,A187,Acerv,UNKNOWN,SYBR,None,24.381,24.637,0.361,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.972,N,N,75.308,,,
28,C4,FALSE,A187,A,UNKNOWN,SYBR,None,25.289,25.411,0.173,,,,,,,,TRUE,0.449,TRUE,3,18,Amp,,0.980,N,N,87.819,,,
29,C5,FALSE,A166,Acerv,UNKNOWN,SYBR,None,25.684,25.627,0.080,,,,,,,,TRUE,0.182,TRUE,3,21,Amp,,0.975,N,N,75.156,,,
30,C6,FALSE,A166,A,UNKNOWN,SYBR,None,24.781,24.782,0.001,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.974,N,N,87.663,,,
31,C7,FALSE,A166,Acerv,UNKNOWN,SYBR,None,25.571,25.627,0.080,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.991,N,N,75.163,,,
32,C8,FALSE,A166,A,UNKNOWN,SYBR,None,24.783,24.782,0.001,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.987,N,N,87.676,,,
33,C9,FALSE,A167,Acerv,UNKNOWN,SYBR,None,25.181,25.120,0.085,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.972,N,N,75.476,,,
34,C10,FALSE,A167,A,UNKNOWN,SYBR,None,24.328,24.392,0.091,,,,,,,,TRUE,0.449,TRUE,3,18,Amp,,0.986,N,N,87.857,,,
35,C11,FALSE,A167,Acerv,UNKNOWN,SYBR,None,25.060,25.120,0.085,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.972,N,N,75.175,,,
36,C12,FALSE,A167,A,UNKNOWN,SYBR,None,24.457,24.392,0.091,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.981,N,N,87.698,,,
37,D1,FALSE,A168,Acerv,UNKNOWN,SYBR,None,24.268,24.383,0.163,,,,,,,,TRUE,0.182,TRUE,3,19,Amp,,0.971,N,N,75.175,,,
38,D2,FALSE,A168,A,UNKNOWN,SYBR,None,24.037,24.042,0.008,,,,,,,,TRUE,0.449,TRUE,3,18,Amp,,0.976,N,N,87.697,,,
39,D3,FALSE,A168,Acerv,UNKNOWN,SYBR,None,24.499,24.383,0.163,,,,,,,,TRUE,0.182,TRUE,3,19,Amp,,0.976,N,N,75.308,,,
40,D4,FALSE,A168,A,UNKNOWN,SYBR,None,24.048,24.042,0.008,,,,,,,,TRUE,0.449,TRUE,3,17,Amp,,0.962,N,N,87.819,,,
41,D5,FALSE,A169,Acerv,UNKNOWN,SYBR,None,26.467,26.506,0.056,,,,,,,,TRUE,0.182,TRUE,3,21,Amp,,0.978,N,N,75.156,,,
42,D6,FALSE,A169,A,UNKNOWN,SYBR,None,23.581,23.468,0.160,,,,,,,,TRUE,0.449,TRUE,3,17,Amp,,0.984,N,N,87.663,,,
43,D7,FALSE,A169,Acerv,UNKNOWN,SYBR,None,26.545,26.506,0.056,,,,,,,,TRUE,0.182,TRUE,3,21,Amp,,0.986,N,N,75.163,,,
44,D8,FALSE,A169,A,UNKNOWN,SYBR,None,23.354,23.468,0.160,,,,,,,,TRUE,0.449,TRUE,3,17,Amp,,0.957,N,N,87.676,,,
45,D9,FALSE,A170,Acerv,UNKNOWN,SYBR,None,24.177,24.093,0.118,,,,,,,,TRUE,0.182,TRUE,3,19,Amp,,0.962,N,N,75.329,,,
46,D10,FALSE,A170,A,UNKNOWN,SYBR,None,24.339,24.384,0.064,,,,,,,,TRUE,0.449,TRUE,3,17,Amp,,0.985,N,N,87.857,,,
47,D11,FALSE,A170,Acerv,UNKNOWN,SYBR,None,24.010,24.093,0.118,,,,,,,,TRUE,0.182,TRUE,3,19,Amp,,0.969,N,N,75.322,,,
48,D12,FALSE,A170,A,UNKNOWN,SYBR,None,24.430,24.384,0.064,,,,,,,,TRUE,0.449,TRUE,3,18,Amp,,0.940,N,N,87.698,,,
49,E1,FALSE,A171,Acerv,UNKNOWN,SYBR,None,24.588,24.589,0.003,,,,,,,,TRUE,0.182,TRUE,3,18,Amp,,0.970,N,N,75.175,,,
50,E2,FALSE,A171,A,UNKNOWN,SYBR,None,24.800,24.888,0.124,,,,,,,,TRUE,0.449,TRUE,3,18,Amp,,0.983,N,N,87.550,,,
51,E3,FALSE,A171,Acerv,UNKNOWN,SYBR,None,24.591,24.589,0.003,,,,,,,,TRUE,0.182,TRUE,3,19,Amp,,0.971,N,N,75.308,,,
52,E4,FALSE,A171,A,UNKNOWN,SYBR,None,24.975,24.888,0.124,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.957,N,N,87.672,,,
53,E5,FALSE,A172,Acerv,UNKNOWN,SYBR,None,24.716,24.743,0.039,,,,,,,,TRUE,0.182,TRUE,3,19,Amp,,0.970,N,N,75.156,,,
54,E6,FALSE,A172,A,UNKNOWN,SYBR,None,23.273,23.213,0.086,,,,,,,,TRUE,0.449,TRUE,3,17,Amp,,0.959,N,N,87.516,,,
55,E7,FALSE,A172,Acerv,UNKNOWN,SYBR,None,24.770,24.743,0.039,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.980,N,N,75.310,,,
56,E8,FALSE,A172,A,UNKNOWN,SYBR,None,23.152,23.213,0.086,,,,,,,,TRUE,0.449,TRUE,3,17,Amp,,0.939,N,N,87.676,,,
57,E9,FALSE,A174,Acerv,UNKNOWN,SYBR,None,24.566,24.614,0.069,,,,,,,,TRUE,0.182,TRUE,3,19,Amp,,0.991,N,N,75.329,,,
58,E10,FALSE,A174,A,UNKNOWN,SYBR,None,24.367,24.523,0.221,,,,,,,,TRUE,0.449,TRUE,3,18,Amp,,0.978,N,N,87.709,,,
59,E11,FALSE,A174,Acerv,UNKNOWN,SYBR,None,24.663,24.614,0.069,,,,,,,,TRUE,0.182,TRUE,3,19,Amp,,0.975,N,N,75.175,,,
60,E12,FALSE,A174,A,UNKNOWN,SYBR,None,24.679,24.523,0.221,,,,,,,,TRUE,0.449,TRUE,3,18,Amp,,0.931,N,N,87.698,,,
61,F1,FALSE,A175,Acerv,UNKNOWN,SYBR,None,24.931,24.927,0.006,,,,,,,,TRUE,0.182,TRUE,3,19,Amp,,0.971,N,N,75.028,,,
62,F2,FALSE,A175,A,UNKNOWN,SYBR,None,25.392,25.654,0.371,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.969,N,N,87.550,,,
63,F3,FALSE,A175,Acerv,UNKNOWN,SYBR,None,24.922,24.927,0.006,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.967,N,N,75.161,,,
64,F4,FALSE,A175,A,UNKNOWN,SYBR,None,25.916,25.654,0.371,,,,,,,,TRUE,0.449,TRUE,3,20,Amp,,0.969,N,N,87.672,,,
65,F5,FALSE,A177,Acerv,UNKNOWN,SYBR,None,24.600,24.971,0.525,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.970,N,Y,75.156,,,
66,F6,FALSE,A177,A,UNKNOWN,SYBR,None,25.567,25.521,0.065,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.970,N,N,87.516,,,
67,F7,FALSE,A177,Acerv,UNKNOWN,SYBR,None,25.342,24.971,0.525,,,,,,,,TRUE,0.182,TRUE,3,19,Amp,,0.959,N,Y,75.163,,,
68,F8,FALSE,A177,A,UNKNOWN,SYBR,None,25.475,25.521,0.065,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.965,N,N,87.676,,,
69,F9,FALSE,A178,Acerv,UNKNOWN,SYBR,None,26.176,26.049,0.180,,,,,,,,TRUE,0.182,TRUE,3,21,Amp,,0.965,N,N,75.182,,,
70,F10,FALSE,A178,A,UNKNOWN,SYBR,None,25.875,25.956,0.115,,,,,,,,TRUE,0.449,TRUE,3,18,Amp,,0.980,N,N,87.709,,,
71,F11,FALSE,A178,Acerv,UNKNOWN,SYBR,None,25.922,26.049,0.180,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.971,N,N,75.175,,,
72,F12,FALSE,A178,A,UNKNOWN,SYBR,None,26.038,25.956,0.115,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.971,N,N,87.698,,,
73,G1,FALSE,A181,Acerv,UNKNOWN,SYBR,None,25.719,25.683,0.051,,,,,,,,TRUE,0.182,TRUE,3,21,Amp,,0.979,N,N,75.028,,,
74,G2,FALSE,A181,A,UNKNOWN,SYBR,None,25.617,25.704,0.124,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.982,N,N,87.550,,,
75,G3,FALSE,A181,Acerv,UNKNOWN,SYBR,None,25.647,25.683,0.051,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.971,N,N,75.161,,,
76,G4,FALSE,A181,A,UNKNOWN,SYBR,None,25.792,25.704,0.124,,,,,,,,TRUE,0.449,TRUE,3,20,Amp,,0.971,N,N,87.672,,,
77,G5,FALSE,A182,Acerv,UNKNOWN,SYBR,None,24.911,24.998,0.123,,,,,,,,TRUE,0.182,TRUE,3,19,Amp,,0.972,N,N,75.156,,,
78,G6,FALSE,A182,A,UNKNOWN,SYBR,None,25.387,25.257,0.183,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.963,N,N,87.516,,,
79,G7,FALSE,A182,Acerv,UNKNOWN,SYBR,None,25.085,24.998,0.123,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.952,N,N,75.163,,,
80,G8,FALSE,A182,A,UNKNOWN,SYBR,None,25.128,25.257,0.183,,,,,,,,TRUE,0.449,TRUE,3,18,Amp,,0.955,N,N,87.676,,,
81,G9,FALSE,A191,Acerv,UNKNOWN,SYBR,None,24.965,25.012,0.066,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.966,N,N,75.182,,,
82,G10,FALSE,A191,A,UNKNOWN,SYBR,None,25.282,25.292,0.015,,,,,,,,TRUE,0.449,TRUE,3,19,Amp,,0.984,N,N,87.709,,,
83,G11,FALSE,A191,Acerv,UNKNOWN,SYBR,None,25.059,25.012,0.066,,,,,,,,TRUE,0.182,TRUE,3,20,Amp,,0.971,N,N,75.175,,,
84,G12,FALSE,A191,A,UNKNOWN,SYBR,None,25.303,25.292,0.015,,,,,,,,TRUE,0.449,TRUE,3,17,Amp,,0.980,N,N,87.698,,,
85,H1,FALSE,+,Acerv,UNKNOWN,SYBR,None,27.464,22.940,6.398,,,,,,,,TRUE,0.182,TRUE,3,23,Amp,,0.965,N,Y,74.881,,,
86,H2,FALSE,+,A,UNKNOWN,SYBR,None,14.259,14.345,0.121,,,,,,,,TRUE,0.449,TRUE,3,8,Amp,,0.969,N,N,87.550,,,
95,H11,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.182,TRUE,3,39,No Amp,,0.000,Y,N,88.287,82.394,77.679,92.265
96,H12,FALSE,NTC,A,NTC,SYBR,None,37.653,,,,,,,,,,TRUE,0.449,TRUE,3,30,Amp,,0.871,N,N,83.278,,,
