23,B11,FALSE,49,Acerv,UNKNOWN,SYBR,None,22.413,22.554,0.200,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.973,N,N,N,N,73.995,,,
24,B12,FALSE,49,A,UNKNOWN,SYBR,None,26.301,25.996,0.431,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.928,N,N,N,N,85.485,,,
25,C1,FALSE,50,Acerv,UNKNOWN,SYBR,None,22.995,23.156,0.228,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.975,N,N,N,N,73.848,,,
26,C2,FALSE,50,A,UNKNOWN,SYBR,None,26.197,26.171,0.037,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.979,N,Y,N,N,85.043,73.995,,
27,C3,FALSE,50,Acerv,UNKNOWN,SYBR,None,23.317,23.156,0.228,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.979,N,N,N,N,74.142,,,
28,C4,FALSE,50,A,UNKNOWN,SYBR,None,26.145,26.171,0.037,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.979,N,N,N,N,85.485,,,
29,C5,FALSE,51,Acerv,UNKNOWN,SYBR,None,23.219,23.051,0.238,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.976,N,N,N,N,73.995,,,
30,C6,FALSE,51,A,UNKNOWN,SYBR,None,25.229,25.166,0.090,,,,,,,,TRUE,0.195,TRUE,3,20,Amp,,0.985,N,N,N,N,85.190,,,
31,C7,FALSE,51,Acerv,UNKNOWN,SYBR,None,22.882,23.051,0.238,,,,,,,,TRUE,0.293,TRUE,3,16,Amp,,0.982,N,N,N,N,73.995,,,
32,C8,FALSE,51,A,UNKNOWN,SYBR,None,25.102,25.166,0.090,,,,,,,,TRUE,0.195,TRUE,3,20,Amp,,0.965,N,N,N,N,85.337,,,
33,C9,FALSE,52,Acerv,UNKNOWN,SYBR,None,22.935,22.945,0.015,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.982,N,N,N,N,73.995,,,
34,C10,FALSE,52,A,UNKNOWN,SYBR,None,25.897,25.810,0.123,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.972,N,N,N,N,85.485,,,
35,C11,FALSE,52,Acerv,UNKNOWN,SYBR,None,22.956,22.945,0.015,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.969,N,N,N,N,73.995,,,
36,C12,FALSE,52,A,UNKNOWN,SYBR,None,25.723,25.810,0.123,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.966,N,N,N,N,85.337,,,
37,D1,FALSE,53,Acerv,UNKNOWN,SYBR,None,23.476,23.462,0.019,,,,,,,,TRUE,0.293,TRUE,3,19,Amp,,0.977,N,N,N,N,73.700,,,
38,D2,FALSE,53,A,UNKNOWN,SYBR,None,26.950,27.339,0.551,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.969,N,N,N,Y,85.190,,,
39,D3,FALSE,53,Acerv,UNKNOWN,SYBR,None,23.448,23.462,0.019,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.980,N,N,N,N,74.142,,,
40,D4,FALSE,53,A,UNKNOWN,SYBR,None,27.729,27.339,0.551,,,,,,,,TRUE,0.195,TRUE,3,23,Amp,,0.969,N,Y,N,Y,82.833,85.190,76.352,
41,D5,FALSE,54,Acerv,UNKNOWN,SYBR,None,23.197,23.251,0.076,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.979,N,N,N,N,73.848,,,
42,D6,FALSE,54,A,UNKNOWN,SYBR,None,25.808,25.942,0.190,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.961,N,N,N,N,85.190,,,
43,D7,FALSE,54,Acerv,UNKNOWN,SYBR,None,23.304,23.251,0.076,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.970,N,N,N,N,73.848,,,
44,D8,FALSE,54,A,UNKNOWN,SYBR,None,26.076,25.942,0.190,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.971,N,N,N,N,85.485,,,
45,D9,FALSE,55,Acerv,UNKNOWN,SYBR,None,23.164,23.104,0.085,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.982,N,N,N,N,73.995,,,
46,D10,FALSE,55,A,UNKNOWN,SYBR,None,24.883,25.114,0.327,,,,,,,,TRUE,0.195,TRUE,3,20,Amp,,0.968,N,N,N,N,85.485,,,
47,D11,FALSE,55,Acerv,UNKNOWN,SYBR,None,23.044,23.104,0.085,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.979,N,N,N,N,73.848,,,
48,D12,FALSE,55,A,UNKNOWN,SYBR,None,25.345,25.114,0.327,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.965,N,N,N,N,85.337,,,
49,E1,FALSE,56,Acerv,UNKNOWN,SYBR,None,22.411,22.634,0.316,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.974,N,N,N,N,73.848,,,
50,E2,FALSE,56,A,UNKNOWN,SYBR,None,24.924,25.113,0.266,,,,,,,,TRUE,0.195,TRUE,3,20,Amp,,0.969,N,N,N,N,85.043,,,
51,E3,FALSE,56,Acerv,UNKNOWN,SYBR,None,22.858,22.634,0.316,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.977,N,N,N,N,73.995,,,
52,E4,FALSE,56,A,UNKNOWN,SYBR,None,25.301,25.113,0.266,,,,,,,,TRUE,0.195,TRUE,3,20,Amp,,0.973,N,N,N,N,85.485,,,
53,E5,FALSE,57,Acerv,UNKNOWN,SYBR,None,23.269,23.332,0.089,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.978,N,N,N,N,73.995,,,
54,E6,FALSE,57,A,UNKNOWN,SYBR,None,24.502,24.434,0.097,,,,,,,,TRUE,0.195,TRUE,3,19,Amp,,0.976,N,N,N,N,85.485,,,
55,E7,FALSE,57,Acerv,UNKNOWN,SYBR,None,23.394,23.332,0.089,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.986,N,N,N,N,74.142,,,
56,E8,FALSE,57,A,UNKNOWN,SYBR,None,24.365,24.434,0.097,,,,,,,,TRUE,0.195,TRUE,3,19,Amp,,0.970,N,N,N,N,85.337,,,
57,E9,FALSE,58,Acerv,UNKNOWN,SYBR,None,22.380,22.429,0.070,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.969,N,N,N,N,73.995,,,
58,E10,FALSE,58,A,UNKNOWN,SYBR,None,24.305,24.178,0.180,,,,,,,,TRUE,0.195,TRUE,3,19,Amp,,0.959,N,N,N,N,85.485,,,
59,E11,FALSE,58,Acerv,UNKNOWN,SYBR,None,22.478,22.429,0.070,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.977,N,N,N,N,73.848,,,
60,E12,FALSE,58,A,UNKNOWN,SYBR,None,24.051,24.178,0.180,,,,,,,,TRUE,0.195,TRUE,3,17,Amp,,0.960,N,Y,N,N,85.337,77.088,,
61,F1,FALSE,59,Acerv,UNKNOWN,SYBR,None,22.220,22.154,0.094,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.984,N,N,N,N,73.700,,,
62,F2,FALSE,59,A,UNKNOWN,SYBR,None,24.009,23.864,0.205,,,,,,,,TRUE,0.195,TRUE,3,17,Amp,,0.982,N,N,N,N,85.043,,,
63,F3,FALSE,59,Acerv,UNKNOWN,SYBR,None,22.087,22.154,0.094,,,,,,,,TRUE,0.293,TRUE,3,16,Amp,,0.978,N,N,N,N,73.995,,,
64,F4,FALSE,59,A,UNKNOWN,SYBR,None,23.719,23.864,0.205,,,,,,,,TRUE,0.195,TRUE,3,19,Amp,,0.976,N,N,N,N,85.337,,,
65,F5,FALSE,60,Acerv,UNKNOWN,SYBR,None,22.782,22.832,0.070,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.985,N,N,N,N,74.142,,,
66,F6,FALSE,60,A,UNKNOWN,SYBR,None,24.053,23.984,0.098,,,,,,,,TRUE,0.195,TRUE,3,18,Amp,,0.970,N,N,N,N,85.337,,,
67,F7,FALSE,60,Acerv,UNKNOWN,SYBR,None,22.881,22.832,0.070,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.973,N,N,N,N,73.995,,,
68,F8,FALSE,60,A,UNKNOWN,SYBR,None,23.915,23.984,0.098,,,,,,,,TRUE,0.195,TRUE,3,19,Amp,,0.966,N,N,N,N,85.337,,,
69,F9,FALSE,61,Acerv,UNKNOWN,SYBR,None,23.066,22.970,0.136,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.965,N,N,N,N,73.995,,,
70,F10,FALSE,61,A,UNKNOWN,SYBR,None,23.779,23.553,0.319,,,,,,,,TRUE,0.195,TRUE,3,19,Amp,,0.973,N,N,N,N,85.337,,,
71,F11,FALSE,61,Acerv,UNKNOWN,SYBR,None,22.874,22.970,0.136,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.976,N,N,N,N,74.142,,,
72,F12,FALSE,61,A,UNKNOWN,SYBR,None,23.327,23.553,0.319,,,,,,,,TRUE,0.195,TRUE,3,18,Amp,,0.957,N,N,N,N,85.485,,,
73,G1,FALSE,62,Acerv,UNKNOWN,SYBR,None,21.226,21.149,0.109,,,,,,,,TRUE,0.293,TRUE,3,16,Amp,,0.974,N,N,N,N,73.700,,,
74,G2,FALSE,62,A,UNKNOWN,SYBR,None,23.459,23.354,0.149,,,,,,,,TRUE,0.195,TRUE,3,18,Amp,,0.963,N,N,N,N,85.043,,,
75,G3,FALSE,62,Acerv,UNKNOWN,SYBR,None,21.072,21.149,0.109,,,,,,,,TRUE,0.293,TRUE,3,16,Amp,,0.972,N,N,N,N,73.848,,,
76,G4,FALSE,62,A,UNKNOWN,SYBR,None,23.249,23.354,0.149,,,,,,,,TRUE,0.195,TRUE,3,18,Amp,,0.964,N,N,N,N,85.485,,,
77,G5,FALSE,63,Acerv,UNKNOWN,SYBR,None,22.004,21.987,0.024,,,,,,,,TRUE,0.293,TRUE,3,16,Amp,,0.961,N,N,N,N,73.995,,,
78,G6,FALSE,63,A,UNKNOWN,SYBR,None,23.706,23.737,0.044,,,,,,,,TRUE,0.195,TRUE,3,18,Amp,,0.973,N,N,N,N,85.043,,,
79,G7,FALSE,63,Acerv,UNKNOWN,SYBR,None,21.970,21.987,0.024,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.972,N,N,N,N,73.995,,,
80,G8,FALSE,63,A,UNKNOWN,SYBR,None,23.768,23.737,0.044,,,,,,,,TRUE,0.195,TRUE,3,19,Amp,,0.971,N,N,N,N,85.485,,,
81,G9,FALSE,64,Acerv,UNKNOWN,SYBR,None,22.816,22.976,0.226,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.985,N,N,N,N,73.995,,,
82,G10,FALSE,64,A,UNKNOWN,SYBR,None,25.363,25.484,0.171,,,,,,,,TRUE,0.195,TRUE,3,21,Amp,,0.933,N,N,N,N,85.337,,,
83,G11,FALSE,64,Acerv,UNKNOWN,SYBR,None,23.136,22.976,0.226,,,,,,,,TRUE,0.293,TRUE,3,18,Amp,,0.977,N,N,N,N,73.995,,,
84,G12,FALSE,64,A,UNKNOWN,SYBR,None,25.605,25.484,0.171,,,,,,,,TRUE,0.195,TRUE,3,20,Amp,,0.959,N,N,N,N,85.485,,,
85,H1,FALSE,+,Acerv,UNKNOWN,SYBR,None,8.664,8.611,0.075,,,,,,,,TRUE,0.293,TRUE,3,4,Amp,,0.963,N,N,N,N,73.848,,,
86,H2,FALSE,+,A,UNKNOWN,SYBR,None,8.785,8.908,0.174,,,,,,,,TRUE,0.195,TRUE,3,5,Amp,,0.579,Y,N,N,N,84.601,,,
87,H3,FALSE,65,Acerv,UNKNOWN,SYBR,None,20.995,21.230,0.333,,,,,,,,TRUE,0.293,TRUE,3,16,Amp,,0.975,N,N,N,N,73.848,,,
88,H4,FALSE,65,A,UNKNOWN,SYBR,None,23.214,23.273,0.083,,,,,,,,TRUE,0.195,TRUE,3,18,Amp,,0.938,N,N,N,N,85.190,,,
89,H5,FALSE,65,Acerv,UNKNOWN,SYBR,None,21.466,21.230,0.333,,,,,,,,TRUE,0.293,TRUE,3,16,Amp,,0.970,N,N,N,N,73.700,,,
90,H6,FALSE,65,A,UNKNOWN,SYBR,None,23.332,23.273,0.083,,,,,,,,TRUE,0.195,TRUE,3,18,Amp,,0.944,N,N,N,N,85.190,,,
91,H7,FALSE,66,Acerv,UNKNOWN,SYBR,None,26.122,,,,,,,,,,TRUE,0.293,TRUE,3,20,Amp,,0.886,N,N,N,N,73.848,,,
92,H8,FALSE,66,A,UNKNOWN,SYBR,None,23.546,,,,,,,,,,TRUE,0.195,TRUE,3,18,Amp,,0.971,N,N,N,N,85.190,,,
93,H9,FALSE,66,Acerv,UNKNOWN,SYBR,None,22.410,,,,,,,,,,TRUE,0.293,TRUE,3,17,Amp,,0.981,N,N,N,N,73.700,,,
94,H10,FALSE,66,A,UNKNOWN,SYBR,None,23.318,,,,,,,,,,TRUE,0.195,TRUE,3,16,Amp,,0.973,N,N,N,N,85.337,,,
95,H11,FALSE,NTC,Acerv,NTC,SYBR,None,Undetermined,,,,,,,,,,TRUE,0.293,TRUE,3,39,No Amp,,0.000,N,N,N,N,60.001,,,
96,H12,FALSE,NTC,A,NTC,SYBR,None,36.995,,,,,,,,,,TRUE,0.195,TRUE,3,30,Inconclusive,,0.801,N,N,N,N,74.879,,,
