Fragment,Genotype,Nutrients,Disease,A_Tank,D_Tank,D_Tank2,Date,Notes,Fu.time_texp,Fu.stat_exp
A007,Kelsey-1,NH4,Placebo,7,7,7,2020-11-04,"Started TL AM, gone PM",,1
A009,Kelsey-1,NH4,Placebo,7,7,,2020-11-01,,"Started TL 10-30, some tissue left ",1
A014,Kelsey-1,NH4,Placebo,3,7,,2020-11-09,Sampled as pair 2020-11-06,,0
A018,Cooper-9,NH4,Placebo,3,7,,2020-11-04,No sample collected-completely gone,,1
A019,Cooper-9,NH4,Placebo,7,7,,2020-10-25,,,1
A036,Cooper-9,NH4,Placebo,3,7,7,2020-11-08,Sampled as pair 2020-11-04,,0
A048,Acerv2,NH4,Placebo,7,7,,2020-10-25,,,1
A051,Acerv2,NH4,Placebo,7,7,7,2020-11-08,Sampled as pair 2020-11-05,,1
A056,Acerv2,NH4,Placebo,3,7,,2020-11-02,TL base,40% TL,1
A077,Elkhorn,NH4,Placebo,7,7,,2020-11-09,Sampled as pair 2020-11-07,,0
A092,Elkhorn,NH4,Placebo,3,7,,2020-11-09,,,0
A105,U44,NH4,Placebo,7,7,7,2020-11-09,Sampled as pair 2020-11-06,,0
A106,U44,NH4,Placebo,3,7,,2020-11-09,Sampled as pair 2020-11-06,,0
A127,U44,NH4,Placebo,7,7,,2020-11-09,,,0
A159,K2,NH4,Placebo,7,7,,2020-11-07,TL base,,1
A162,K2,NH4,Placebo,3,7,7,2020-11-09,Sampled as pair 2020-11-05,,0
A190,FM19,NH4,Placebo,3,7,7,2020-11-09,Sampled as pair 2020-11-06,,0
A192,FM19,NH4,Placebo,7,7,,2020-11-09,,,0
A196,FM19,NH4,Placebo,7,7,,2020-11-09,,,0
215,FM9,NH4,Placebo,3,7,7,2020-11-09,Sampled as pair 2020-11-04,,0
220,FM9,NH4,Placebo,7,7,,2020-11-09,,,0
226,FM9,NH4,Placebo,7,7,,2020-11-09,,,0
231,FM6,NH4,Placebo,7,7,7,2020-11-09,Sampled as pair 2020-11-04,,0
254,FM6,NH4,Placebo,3,7,,2020-11-09,,,0
258,FM6,NH4,Placebo,3,7,7,2020-11-09,Sampled as pair 2020-11-04,,0
262,FM14,NH4,Placebo,7,7,7,2020-11-09,Sampled as pair 2020-11-06,,0
269,FM14,NH4,Placebo,3,7,7,2020-11-09,Sampled as pair 2020-11-06,,0
293,FM14,NH4,Placebo,3,7,,2020-11-09,,,0
A008,Kelsey-1,NH4,Placebo,4,8,,2020-10-26,Broke from tag and tip yesterday,,1
A010,Kelsey-1,NH4,Placebo,8,8,8,2020-11-05,TL/thinning tissue,,1
A034,Cooper-9,NH4,Placebo,4,8,,2020-11-01,No sample collected-completely gone,,1
A037,Cooper-9,NH4,Placebo,4,8,,2020-10-21,,,1
A045,Acerv2,NH4,Placebo,4,8,8,2020-11-05,TL base,,1
A052,Acerv2,NH4,Placebo,8,8,8,2020-11-09,Sampled as pair 2020-11-03/and 2020-11-06,,0
A060,Acerv2,NH4,Placebo,8,8,,2020-10-24,,,1
A068,Elkhorn,NH4,Placebo,4,8,,2020-11-09,,,0
A071,U44,NH4,Placebo,4,8,,2020-11-09,,,0
A072,Elkhorn,NH4,Placebo,8,8,,2020-11-09,Sampled as pair 2020-11-06,,0
A083,Elkhorn,NH4,Placebo,8,8,,2020-11-09,Sampled as pair 2020-11-07,,0
A101,Kelsey-1,NH4,Placebo,8,8,8,2020-11-05,TL/thinning tissue,,1
A131,U44,NH4,Placebo,8,8,,2020-11-09,Sampled as pair 2020-11-06,,0
A134,U44,NH4,Placebo,8,8,,2020-11-09,Sampled as pair 2020-11-07,,0
A155,K2,NH4,Placebo,4,8,,2020-11-09,,,0
A165,K2,NH4,Placebo,8,8,8,2020-11-09,Sampled as pair 2020-11-06,,0
A172,K2,NH4,Placebo,4,8,,2020-11-09,,,0
A185,FM19,NH4,Placebo,8,8,,2020-11-09,,,0
A188,FM19,NH4,Placebo,8,8,8,2020-11-09,Sampled as pair 2020-11-05,,0
A198,FM19,NH4,Placebo,4,8,,2020-11-09,,,0
204,FM9,NH4,Placebo,4,8,8,2020-11-09,Sampled as pair 2020-11-06,,0
211,FM9,NH4,Placebo,8,8,,2020-11-09,,,0
214,FM9,NH4,Placebo,8,8,,2020-11-09,,,0
239,FM6,NH4,Placebo,8,8,8,2020-11-09,Sampled as pair 2020-11-06,,0
261,FM6,NH4,Placebo,4,8,,2020-11-09,,,0
266,FM6,NH4,Placebo,4,8,,2020-11-09,,,0
272,FM14,NH4,Placebo,4,8,,2020-11-09,,,0
282,FM14,NH4,Placebo,8,8,,2020-11-09,,,0
284,FM14,NH4,Placebo,4,8,,2020-11-09,,,0
